"",horizon,MAE,MSE,RMSE,MAPE (%),SMAPE (%)
0,0,158.946414,4.563790e+04,213.630289,0.196988,0.196939
1,1,202.459897,7.303449e+04,270.248945,0.253066,0.253000
2,2,334.882818,1.959299e+05,442.639713,0.418837,0.418799
3,3,489.780458,4.135312e+05,643.063924,0.612545,0.612610
4,4,651.024041,7.249899e+05,851.463363,0.813964,0.814191
5,5,814.475266,1.129288e+06,1062.679835,1.017944,1.018382
6,6,978.725463,1.625560e+06,1274.974385,1.222795,1.223485
7,7,1143.520772,2.213543e+06,1487.797884,1.428208,1.429197
8,8,1308.484760,2.892255e+06,1700.663252,1.633747,1.635078
9,9,1473.445650,3.660447e+06,1913.229402,1.839219,1.840933
10,10,1638.257916,4.516940e+06,2125.309456,2.044447,2.046582
11,11,1802.803133,5.459977e+06,2336.659429,2.249250,2.251845
12,12,1967.057203,6.488416e+06,2547.237019,2.453620,2.456713
13,13,2130.854228,7.600415e+06,2756.885028,2.657361,2.660987
14,14,2294.190073,8.794241e+06,2965.508591,2.860445,2.864641
15,15,2457.126331,1.006816e+07,3173.036315,3.062949,3.067751
16,16,2619.731550,1.142047e+07,3379.418945,3.264959,3.270401
17,17,2781.888712,1.284898e+07,3584.547232,3.466333,3.472455
18,18,2943.531053,1.435159e+07,3788.349433,3.666982,3.673818
19,19,3104.908423,1.592694e+07,3990.856787,3.867229,3.874817
20,20,3265.717828,1.757211e+07,4191.910050,4.066674,4.075050
21,21,3425.950587,1.928539e+07,4391.513384,4.265288,4.274491
22,22,3585.684981,2.106479e+07,4589.638928,4.463177,4.473248
23,23,3744.863667,2.290856e+07,4786.288885,4.660274,4.671251
